cluster,mean,rate,variance,n_neurons
0,-0.07095871,0.00014953271028037384,0.00047449148,107
1,0.24218321,0.7943076923076924,0.024564577,13
2,0.168067,0.8376785714285714,0.0024326663,28
3,-0.29095528,0.0,0.0033751822,25
4,0.037318394,0.021457831325301203,0.0002258074,83
