cluster,mean,rate,variance,n_neurons
0,-0.022825485,0.016743362831858406,0.0007794786,339
1,-0.06399094,0.3633333333333333,0.18283255,3
2,0.18940167,0.8497142857142858,0.0074917595,42
3,-0.14853336,0.001256,0.003348544,125
4,-0.8008526,0.0,0.0032757893,3
