block,k_clusters,clusterId,accuracy_top1,ig_faithfulness_mean,ig_faithfulness_std,ig_sparsity_mean,ig_sparsity_std,saliency_faithfulness_mean,saliency_faithfulness_std,saliency_sparsity_mean,saliency_sparsity_std
block_1,2,0,0.75,0.3437726959011866,0.3229235680177087,0.2772704081632653,0.05690913732868572,0.3153460509844035,0.32727135654722705,0.23099489795918365,0.04062114525331557
block_1,3,0,0.75,0.34304778117357043,0.32253408516707927,0.27701530612244896,0.0569690265535929,0.317735961856265,0.32992902525393847,0.23063775510204082,0.040477861645887035
block_1,4,0,0.75,0.3084459673767924,0.3138699292452043,0.27193877551020407,0.05769368263721109,0.2586083059619614,0.3191596086246481,0.22698979591836732,0.044504859601096215
block_1,5,0,0.75,0.2994014131343647,0.315933199067355,0.27206632653061225,0.05849559884589488,0.25894974429807915,0.30836165170464663,0.22757653061224492,0.04657382945348724
block_1,2,1,0.75,0.27183635587447497,0.3111611751060865,0.27591836734693875,0.059069999912217036,0.24988036954505333,0.31055152149497045,0.23400510204081634,0.05036744797686091
block_1,3,1,0.75,0.2762261445735203,0.31012448112960483,0.27423469387755106,0.0584061122516715,0.25789328920417576,0.3158820463979013,0.23063775510204082,0.048480926392397414
block_1,4,1,0.75,0.2762261445735203,0.31012448112960483,0.27423469387755106,0.0584061122516715,0.25789328920417576,0.3158820463979013,0.23063775510204082,0.048480926392397414
block_1,5,1,0.75,0.2762261445735203,0.31012448112960483,0.27423469387755106,0.0584061122516715,0.25789328920417576,0.3158820463979013,0.23063775510204082,0.048480926392397414
block_1,3,2,0.75,0.27872474141935527,0.3077200084586455,0.27528061224489797,0.058689655043467404,0.2549219457862182,0.3152745043296705,0.2325,0.04976127412287954
block_1,4,2,0.75,0.27821050219754395,0.30731823814805315,0.27528061224489797,0.058689655043467404,0.2549219457862182,0.3152745043296705,0.2325,0.04976127412287954
block_1,5,2,0.75,0.27821050219754395,0.30731823814805315,0.27528061224489797,0.058689655043467404,0.2549219457862182,0.3152745043296705,0.2325,0.04976127412287954
block_1,4,3,0.75,0.2783763006012305,0.3162106281475691,0.2736734693877551,0.05777267706921188,0.2699132450880461,0.3210588902616571,0.22841836734693877,0.046531367475074005
block_1,5,3,0.75,0.2791181978545501,0.31522440803698554,0.27372448979591835,0.057794548258578514,0.2730587503198512,0.3184784360054631,0.22818877551020406,0.04638071513195548
block_1,5,4,0.75,0.2792711136329308,0.3144705086718188,0.2730357142857143,0.057709421386312854,0.2617445143770055,0.3143714237952582,0.2279591836734694,0.04652591275945901
block_2,2,0,0.75,0.2834088818079454,0.3057799278445327,0.2735969387755102,0.058289420784437856,0.2598088713546531,0.3130206537409553,0.22974489795918365,0.04769223906261371
block_2,3,0,0.75,0.28995499783375633,0.33382107028303937,0.2773469387755102,0.05832648062721897,0.26203316794722925,0.3170735977272547,0.2285969387755102,0.04179844408772814
block_2,4,0,0.75,0.270054402720707,0.3117815686667986,0.27461734693877554,0.05664055262978473,0.2537563903699538,0.31594610056343625,0.227984693877551,0.04264579050178184
block_2,5,0,0.75,0.25381028912095643,0.2974452307275117,0.26931122448979594,0.056696685394611264,0.25135337337166674,0.2994985784629264,0.22596938775510203,0.044053958386044985
block_2,2,1,0.75,0.28995499783375633,0.33382107028303937,0.2773469387755102,0.05832648062721897,0.26203316794722925,0.3170735977272547,0.2285969387755102,0.04179844408772814
block_2,3,1,0.75,0.27982561629813973,0.31317921833256335,0.27334183673469387,0.05831620935764113,0.2563083508642285,0.3104820908022305,0.22897959183673472,0.04729666137716353
block_2,4,1,0.75,0.27982561629813973,0.31317921833256335,0.27334183673469387,0.05831620935764113,0.2563083508642285,0.3104820908022305,0.22897959183673472,0.04729666137716353
block_2,5,1,0.75,0.27982561629813973,0.31317921833256335,0.27334183673469387,0.05831620935764113,0.2563083508642285,0.3104820908022305,0.22897959183673472,0.04729666137716353
block_2,3,2,0.75,0.2833252555972558,0.30582012330194225,0.27357142857142863,0.05830085766234431,0.26170294946034117,0.3134357763818698,0.22974489795918365,0.04769223906261371
block_2,4,2,0.75,0.2833252555972558,0.30582012330194225,0.27357142857142863,0.05830085766234431,0.26170294946034117,0.3134357763818698,0.22974489795918365,0.04769223906261371
block_2,5,2,0.75,0.2833252555972558,0.30582012330194225,0.27357142857142863,0.05830085766234431,0.26170294946034117,0.3134357763818698,0.22974489795918365,0.04769223906261371
block_2,4,3,0.75,0.28306897316633695,0.3153118804950471,0.2735714285714286,0.05811302878831996,0.258075737538702,0.31422902107149303,0.22867346938775512,0.04776545762480932
block_2,5,3,0.75,0.28269151428580697,0.31817785412790256,0.2747959183673469,0.05845353633474611,0.2557506877634569,0.3055175465872566,0.23,0.04841930817777994
block_2,5,4,0.75,0.27754505872867413,0.311524396275164,0.27334183673469387,0.05821568864681645,0.2566100582874333,0.310405023528689,0.22892857142857143,0.04732073408368762
block_3,2,0,0.75,0.23708581854651356,0.3053811863201888,0.2758418367346939,0.053884115391305616,0.2448522054271234,0.3126655049956591,0.23823979591836736,0.04565171299542778
block_3,3,0,0.75,0.2491470890158962,0.30207425915468644,0.2663010204081633,0.05300894574334906,0.22958435879048467,0.30603956127072,0.22926020408163267,0.04459860051210669
block_3,4,0,0.75,0.27872914396659326,0.31657655704850646,0.2764030612244898,0.059191232583766205,0.2654170127292309,0.3163384407096085,0.23173469387755102,0.04921383189185113
block_3,5,0,0.75,0.2786315953495432,0.31463622918525314,0.2759438775510204,0.059156788184421764,0.2642560547860103,0.3149278356010578,0.23130102040816325,0.04915274850239243
block_3,2,1,0.75,0.28264479335659415,0.30298272641703394,0.27387755102040817,0.05860635025216309,0.2622395802599021,0.30612478512218966,0.2290561224489796,0.0481525560451983
block_3,3,1,0.75,0.28965536289179,0.30671828675476376,0.27426020408163265,0.05883628142809968,0.25860663651782034,0.3052990307968678,0.22910714285714287,0.04813687636414996
block_3,4,1,0.75,0.2852607937111952,0.30793333952006197,0.2740561224489796,0.058917808673471544,0.25710489128292463,0.30464971430157173,0.22903061224489796,0.047874409443356976
block_3,5,1,0.75,0.2824273755158265,0.30204674877519994,0.2741071428571428,0.05895437967409363,0.26410477119408826,0.30651578074974223,0.2292091836734694,0.047891119471566955
block_3,3,2,0.75,0.27351812205612985,0.30886086944243163,0.27438775510204083,0.058758057924810425,0.26005365831968447,0.3124260556468152,0.22948979591836735,0.04785311762367951
block_3,4,2,0.75,0.27289173227494756,0.30761431198855477,0.27403061224489794,0.05867034153153452,0.26415033593139015,0.3049926514729794,0.22936224489795914,0.04799525754676627
block_3,5,2,0.75,0.2703797245318856,0.3021958025913776,0.2741071428571428,0.058704378504519004,0.2657064633121445,0.3056789897012857,0.2293622448979592,0.047756021871047195
block_3,4,3,0.75,0.25371388401825246,0.3043746736432487,0.2624234693877551,0.05264895149876396,0.2414982521899674,0.31476684749382927,0.22214285714285714,0.041879768807885215
block_3,5,3,0.75,0.2674098360115022,0.3082309705625885,0.2628826530612245,0.05274122873478405,0.24323365958517115,0.31655363881584087,0.22283163265306122,0.04249402014672069
block_3,5,4,0.75,0.2825539956270495,0.30907558764424065,0.27339285714285716,0.0581280718355479,0.26187596583254164,0.3066398825526214,0.22895408163265304,0.04747074742073321
block_4,2,0,0.75,0.28296120578456796,0.3116124235380748,0.27678571428571425,0.05995006512260779,0.26583423422204305,0.31108354497565327,0.23160714285714284,0.0491464459733534
