cluster,mean,rate,variance,n_neurons
0,-0.0063940412,0.008701923076923076,0.001180045,312
1,0.009606538,0.0024230769230769228,0.00031772302,442
2,-0.06964456,9.871244635193133e-05,0.0011829631,233
3,0.14748298,0.6876666666666668,0.0018050984,6
4,0.039373312,0.14100000000000001,0.0025174343,31
