cluster,mean,sparsity,variance,n_neurons
0,-0.0864805,4.18848167539267e-05,0.00081721705,382
1,0.14436172,0.6981951219512196,0.0028936884,41
2,-0.11573032,0.02206756756756757,0.0038073682,74
3,-0.009985415,0.013316888045540796,0.00061982876,527
