class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
306,rhinoceros_beetle,saliency,0.4491362404336734,0.0296677393538166,0.4770099595110514,0.3353224027634822,0.4432825786564626,0.0317825926494757,0.26315471124748,0.2864531204793277,-0.2138552482635714
307,weevil,ig,0.5009464019982993,0.0465438702982908,0.4031037155402373,0.3109575880858233,0.4846403326955782,0.0399091169690246,0.258413987752574,0.2551165144509386,-0.1446897277876632
307,weevil,saliency,0.4315539965986394,0.0170095055935224,0.2889365116857516,0.2902658681117272,0.4183454241071427,0.0205097301281771,0.1431038732890738,0.212412218895654,-0.1458326383966778
308,fly,ig,0.5323387011054422,0.0398360974311659,0.6187989539445152,0.3121942675014598,0.511187818877551,0.0338283395243913,0.5807566441668394,0.3094695985231085,-0.0380423097776758
308,fly,saliency,0.4391970928996598,0.0218930479344986,0.4895906689381809,0.3432897833134065,0.427148968962585,0.0254256166054354,0.421556038893068,0.3394994959924888,-0.0680346300451128
309,bee,ig,0.5033608365221088,0.0356000822576872,0.5078850993741071,0.3188573284472203,0.4923721832482993,0.0325326156233107,0.414343330245465,0.3466225135918273,-0.093541769128642
309,bee,saliency,0.442387462797619,0.023923967877867,0.4260907231854798,0.3207278862823852,0.4319537893282312,0.0283547408024734,0.3169493198506825,0.3168785266025398,-0.1091414033347973
310,ant,ig,0.5230192389455782,0.0491965543980546,0.537537420897279,0.3483810256154617,0.5079504145408164,0.0455310081818531,0.4762476631904428,0.3779270204013023,-0.0612897577068361
310,ant,saliency,0.4327307876275511,0.0145630458472243,0.4398485048138536,0.3230620146447625,0.4209673947704081,0.0196747413937261,0.3778618335351348,0.3238283623595108,-0.0619866712787188
311,grasshopper,ig,0.5184933035714286,0.0409756459586494,0.3892220527457539,0.2755502479575573,0.5036348054846939,0.0379722541732053,0.3675695772038307,0.275794188040273,-0.0216524755419231
311,grasshopper,saliency,0.4330658747874149,0.0211989596130984,0.376651036379626,0.2892495083391505,0.4192414700255101,0.022622984236445,0.3004508761968463,0.29115850233801,-0.0762001601827796
312,cricket,ig,0.5195361660289116,0.0424947809955407,0.4722837062594772,0.2568895812337471,0.5070098586309524,0.0448210738482808,0.4241612876823638,0.2966835851168976,-0.0481224185771134
312,cricket,saliency,0.4418800488945578,0.023461911120503,0.4520293537699035,0.2941216466464966,0.4316357089710884,0.02994713095147,0.3459042187503655,0.3046474403256635,-0.1061251350195379
313,walking_stick,ig,0.5255459449404762,0.0447121631453859,0.5110096563389925,0.3135562239461154,0.51242293792517,0.0360695599178199,0.4868265547622286,0.3117083941259551,-0.0241831015767638
313,walking_stick,saliency,0.4373921130952381,0.0240979123889603,0.442928489677688,0.3106870797794496,0.4306879783163265,0.0287427760899188,0.4031304748984985,0.3287593883306661,-0.0397980147791895
314,cockroach,ig,0.5302358365221089,0.050879085602953,0.605149579982226,0.2887188604393162,0.5141432823129252,0.0449646961959427,0.535951197087561,0.3294906021329188,-0.0691983828946649
314,cockroach,saliency,0.4491586947278911,0.028637566552619,0.5447608230401237,0.3250284409194997,0.4348309948979592,0.0287538808500445,0.47309876788775,0.3572108887742099,-0.0716620551523738
315,mantis,ig,0.5132594600340137,0.0414603516683301,0.6674742963346944,0.3094908155746143,0.5020292570153062,0.0344556354325113,0.6238670680421637,0.3103635890836938,-0.0436072282925306
315,mantis,saliency,0.4313295865221088,0.0192592218943189,0.5969439671512373,0.3395595382645228,0.4235916241496598,0.0203579350718748,0.5037668865127489,0.3201531231812664,-0.0931770806384884
316,cicada,ig,0.5206490486819728,0.0499291975861992,0.6020211744454173,0.3452459339613359,0.5066787574404762,0.0446828782587213,0.501294125147897,0.3775494592031769,-0.1007270492975203
316,cicada,saliency,0.4379516103316326,0.0251315729014262,0.5226564247583884,0.3594476642726296,0.4272741284013605,0.0281152295596312,0.4174193852008466,0.3637200686189608,-0.1052370395575417
317,leafhopper,ig,0.5044507334183674,0.0381237904498411,0.2719409151395666,0.3037530928033279,0.4934046821853741,0.0350948989397376,0.2383370657870546,0.3044969349363267,-0.033603849352512
317,leafhopper,saliency,0.4244195099914967,0.0130736438783015,0.2097032078932352,0.304717803762866,0.4181212797619047,0.0199658679652502,0.1899772375635803,0.2939251285817696,-0.0197259703296549
