cluster,mean,rate,variance,n_neurons
0,-0.08540219,3.141361256544503e-05,0.0007904551,382
1,0.14772664,0.7164117647058824,0.001857085,34
2,-0.115899496,0.016632911392405064,0.0035047932,79
3,-0.009535115,0.013348076923076923,0.0006227412,520
4,0.08579728,0.5186666666666667,0.008157149,9
