class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
0,tench,ig,0.2925510204081633,0.0415195793398098,0.3865604354458628,0.3961606288301932,0.29,0.0404107399714428,0.262799969704065,0.3447349696479482,-0.1237604657417978
0,tench,saliency,0.266530612244898,0.0409253645602557,0.4455473097175126,0.3960390369016333,0.2659183673469387,0.0426335274087029,0.3449241509329295,0.3972145910035802,-0.1006231587845832
1,goldfish,ig,0.2683673469387755,0.0528744751348229,0.4708086150595045,0.3623529353575582,0.2620408163265306,0.0514346449280586,0.4671042509673861,0.3552383170026819,-0.0037043640921183
1,goldfish,saliency,0.221938775510204,0.0297366267773424,0.3904816889646463,0.3331958377919118,0.2270408163265306,0.0376895459540052,0.3325623885710956,0.3144608658414121,-0.0579193003935506
2,great_white_shark,ig,0.2625510204081632,0.0582992502718293,0.5479586061926967,0.2502545765220813,0.2464285714285714,0.0562729891936294,0.4118906885563047,0.3231291056702622,-0.1360679176363919
2,great_white_shark,saliency,0.2421428571428571,0.0392586707873136,0.5098513668412125,0.2516782680571593,0.2314285714285714,0.0471795069129924,0.4002502614632249,0.3126086784538713,-0.1096011053779875
3,tiger_shark,ig,0.2461224489795918,0.0433590628342282,0.499856797758257,0.2581838299550109,0.2309183673469387,0.0463113568605015,0.3754774290297064,0.2672845158553217,-0.1243793687285506
3,tiger_shark,saliency,0.2342857142857142,0.0360023369133679,0.5071976293937769,0.2107906630298614,0.2238775510204082,0.0421175246291014,0.4031113630556501,0.2806122517834026,-0.1040862663381267
4,hammerhead,ig,0.2584693877551021,0.0512506031496085,0.6402915114101779,0.2749127687400964,0.2498979591836734,0.0544508956918921,0.5968400134434342,0.3220051037546121,-0.0434514979667437
4,hammerhead,saliency,0.2355102040816326,0.0330391712792127,0.5964803028263123,0.3134131886679948,0.2318367346938775,0.0460447241068485,0.4946714666171465,0.3580485650006454,-0.1018088362091657
